api_type,scenario,repetition,response_time_ms,response_size_bytes,status_code
graphql,C,13,2054.535,2152,200
graphql,C,14,2044.948,2152,200
graphql,C,15,2062.205,2152,200
graphql,C,16,2057.171,2152,200
graphql,C,17,2035.092,2152,200
graphql,C,18,2071.152,2152,200
graphql,C,19,2031.063,2152,200
graphql,C,20,2043.467,2152,200
graphql,C,21,2046.855,2152,200
graphql,C,22,2057.157,2152,200
graphql,C,23,2045.756,2152,200
graphql,C,24,2071.080,2152,200
graphql,C,25,2044.087,2152,200
graphql,C,26,2072.357,2152,200
graphql,C,27,2070.679,2152,200
graphql,C,28,2058.104,2152,200
graphql,C,29,2051.666,2152,200
graphql,C,30,2067.465,2152,200
